listing_id,title,model_family,generation_number,is_pro,storage_gb_numeric,storage_category,storage_options_gb,storage_flag_corrected,condition,condition_group,price,price_bucket,price_per_gb,wasPrice,price_discount_pct,has_discount,available,available_disclosed,sold,sold_disclosed,seller,itemLocation,us_state,lastUpdated,date_disclosed,is_bundle_listing,is_suspicious_price,location,iphone_type,generation_group,market_density,price_gap,top_seller_dominance
314,Apple iPhone 14 Pro Max 512GB Factory Unlocked Gold (Glass Cracked) #23339*,iPhone 14 Pro Max,14,True,512.0,512GB,512GB,False,For Parts Or Not Working,Damaged,409.99,$400-599,0.80076171875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
315,Apple iPhone 12 Factory Unlocked (88% Batt - Scratches) Black 64GB #24285,iPhone 12,12,False,64.0,64GB,64GB,False,Used,Second-hand,159.99,<$200,2.49984375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Mid-Gen (12-13),18,4428.01,45.073891625615765
316,Apple iPhone 14 Factory Unlocked Black / Midnight 128GB #24249,iPhone 14,14,False,128.0,128GB,128GB,False,Used,Second-hand,279.99,$200-399,2.187421875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Modern (14+),27,1329.99,21.492537313432834
317,Apple iPhone 12 128GB Factory Unlocked Blue #24227,iPhone 12,12,False,128.0,128GB,128GB,False,Used,Second-hand,199.99,<$200,1.562421875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Mid-Gen (12-13),18,4428.01,45.073891625615765
318,Apple iPhone 13 Factory Unlocked (87% Batt) Green 128GB #24235,iPhone 13,13,False,128.0,128GB,128GB,False,Used,Second-hand,259.99,$200-399,2.031171875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Mid-Gen (12-13),28,4935.0,20.909090909090907
319,Apple iPhone 14 Pro Max 256GB Factory Unlocked Deep Purple (Back Cracked) #23431,iPhone 14 Pro Max,14,True,256.0,256GB,256GB,False,For Parts Or Not Working,Damaged,389.99,$200-399,1.5233984375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
320,Apple iPhone 12 Pro Max 256GB Factory Unlocked Pacific Blue (Back Crack) #23494,iPhone 12 Pro Max,12,True,256.0,256GB,256GB,False,For Parts Or Not Working,Damaged,279.99,$200-399,1.0937109375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Mid-Gen (12-13),21,4867.01,4.6875
321,Apple iPhone 13 Factory Unlocked Product Red 128GB #24236,iPhone 13,13,False,128.0,128GB,128GB,False,Used,Second-hand,239.99,$200-399,1.874921875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Mid-Gen (12-13),28,4935.0,20.909090909090907
322,Apple iPhone 12 Factory Unlocked Black 64GB #24231,iPhone 12,12,False,64.0,64GB,64GB,False,Used,Second-hand,169.99,<$200,2.65609375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Mid-Gen (12-13),18,4428.01,45.073891625615765
323,Apple iPhone 14 Factory Unlocked White / Starlight 128GB #24248,iPhone 14,14,False,128.0,128GB,128GB,False,Used,Second-hand,269.99,$200-399,2.109296875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Modern (14+),27,1329.99,21.492537313432834
